name,rank (tur),country,region,total faculty members (tur),international faculty members (tur),total students (tur),international students (tur)
The Ohio State University,86.0,United States,North America,5911.0,1696.0,43156.0,6874.0
Zhejiang University,87.0,China,Asia,4507.0,1913.0,40869.0,4625.0
"Trinity College Dublin, The University of Dublin",88.0,Ireland,Europe,1249.0,544.0,14961.0,4311.0
Rice University,89.0,United States,North America,969.0,316.0,6610.0,1847.0
Korea University,90.0,South Korea,Asia,3745.0,339.0,25892.0,3638.0
University of Alberta,91.0,Canada,North America,3561.0,1294.0,31765.0,8203.0
University of St Andrews,92.0,United Kingdom,Europe,1140.0,485.0,8800.0,4030.0
The University of Western Australia,93.0,Australia,Oceania,1420.0,809.0,18531.0,4575.0
Pennsylvania State University,94.0,United States,North America,3509.0,211.0,45612.0,7081.0
Lomonosov Moscow State University,95.0,Russia,Europe,6709.0,373.0,30233.0,5098.0
The Hong Kong Polytechnic University,96.0,Hong Kong,Asia,2447.0,1275.0,20972.0,5251.0
University of Science and Technology of China,97.0,China,Asia,1992.0,155.0,16032.0,548.0
University of Geneva,98.0,Switzerland,Europe,1752.0,1029.0,15844.0,6104.0
KTH Royal Institute of Technology,99.0,Sweden,Europe,1500.0,494.0,12658.0,1937.0
Washington University in St. Louis,100.0,United States,North America,2699.0,784.0,13474.0,2706.0
University of Leeds,101.0,United Kingdom,Europe,3025.0,870.0,29645.0,7534.0
University of Southampton,102.0,United Kingdom,Europe,2820.0,1017.0,23775.0,7789.0
University of Helsinki,103.0,Finland,Europe,2645.0,535.0,22419.0,1234.0
Eindhoven University of Technology,104.0,Netherlands,Europe,801.0,322.0,7636.0,1275.0
Purdue University,105.0,United States,North America,3247.0,1334.0,38143.0,8787.0
Yonsei University,106.0,South Korea,Asia,3621.0,290.0,25903.0,3379.0
"KIT, Karlsruhe Institute of Technology",107.0,Germany,Europe,1827.0,410.0,26081.0,4809.0
Sungkyunkwan University (SKKU),108.0,South Korea,Asia,3556.0,324.0,23921.0,2818.0
Utrecht University,109.0,Netherlands,Europe,3067.0,653.0,31754.0,2771.0
Leiden University,110.0,Netherlands,Europe,2324.0,581.0,26513.0,3488.0
The University of Adelaide,111.0,Australia,Oceania,1729.0,633.0,21240.0,8114.0
Uppsala University,112.0,Sweden,Europe,2567.0,584.0,25371.0,5198.0
University of Groningen,113.0,Netherlands,Europe,3351.0,1137.0,27549.0,10780.0
Universiti Malaya (UM),114.0,Malaysia,Asia,2755.0,655.0,17902.0,3476.0
Nanjing University,115.0,China,Asia,2449.0,617.0,32495.0,2960.0
Nagoya University,116.0,Japan,Asia,2665.0,206.0,15838.0,1547.0
Technical University of Denmark,117.0,Denmark,Europe,2117.0,966.0,8878.0,2098.0
"University of California, Davis",118.0,United States,North America,3843.0,549.0,34244.0,4529.0
Aarhus University,119.0,Denmark,Europe,2316.0,602.0,26226.0,3762.0
Humboldt-Universität zu Berlin,120.0,Germany,Europe,1966.0,407.0,33198.0,4805.0
Universidade de São Paulo,121.0,Brazil,Latin America,5582.0,279.0,65711.0,2086.0
Universidad Nacional Autónoma de México  (UNAM),122.0,Mexico,Latin America,15073.0,949.0,141939.0,2173.0
Hokkaido University,123.0,Japan,Asia,2605.0,210.0,17552.0,1347.0
Wageningen University,124.0,Netherlands,Europe,2277.0,323.0,12695.0,3613.0
Freie Universitaet Berlin,125.0,Germany,Europe,1375.0,305.0,32912.0,5735.0
Ghent University,126.0,Belgium,Europe,2520.0,482.0,35968.0,3766.0
Queen Mary University of London,127.0,United Kingdom,Europe,1885.0,801.0,16135.0,6806.0
Kyushu University,128.0,Japan,Asia,2858.0,246.0,18660.0,1787.0
"University of Maryland, College Park",129.0,United States,North America,3920.0,473.0,35504.0,4683.0
Université de Montréal,130.0,Canada,North America,2961.0,1037.0,39112.0,9688.0
Université Pierre et Marie Curie (UPMC),131.0,France,Europe,2273.0,253.0,24305.0,4213.0
University of Southern California,132.0,United States,North America,3124.0,551.0,38749.0,9170.0
Chalmers University of Technology,133.0,Sweden,Europe,1077.0,336.0,9257.0,1465.0
"University of California, Santa Barbara (UCSB)",134.0,United States,North America,1449.0,267.0,23149.0,2128.0
Lancaster University,135.0,United Kingdom,Europe,1245.0,435.0,12300.0,4464.0
University of York,136.0,United Kingdom,Europe,1833.0,636.0,15999.0,3364.0
Cardiff University,137.0,United Kingdom,Europe,2755.0,705.0,24565.0,6090.0
Pontificia Universidad Católica de Chile (UC),138.0,Chile,Latin America,2260.0,198.0,27003.0,991.0
Aalto University,139.0,Finland,Europe,1257.0,370.0,12147.0,1831.0
McMaster University,140.0,Canada,North America,3231.0,1170.0,23702.0,3548.0
RWTH Aachen University,141.0,Germany,Europe,3176.0,449.0,44517.0,8556.0
University of Pittsburgh,142.0,United States,North America,4982.0,572.0,26393.0,2937.0
University of Oslo,143.0,Norway,Europe,2509.0,711.0,24304.0,3667.0
Technische Universität Berlin (TU Berlin),144.0,Germany,Europe,2562.0,377.0,22176.0,4494.0
The Hebrew University of Jerusalem,145.0,Israel,Asia,2249.0,454.0,16531.0,1034.0
University of Lausanne,146.0,Switzerland,Europe,2173.0,1031.0,13435.0,3337.0
Erasmus University Rotterdam,147.0,Netherlands,Europe,2011.0,458.0,23273.0,5229.0
Emory University,148.0,United States,North America,2560.0,484.0,12852.0,2154.0
University of Basel,149.0,Switzerland,Europe,1057.0,684.0,12852.0,3441.0
Michigan State University,150.0,United States,North America,2884.0,653.0,44951.0,7427.0
University of Otago,151.0,New Zealand,Oceania,1266.0,759.0,18532.0,3871.0
University of Waterloo,152.0,Canada,North America,1689.0,473.0,35541.0,8962.0
Université catholique de Louvain (UCL),153.0,Belgium,Europe,1219.0,406.0,24277.0,4468.0
University of Vienna,154.0,Austria,Europe,3411.0,1400.0,45967.0,14468.0
Hanyang University,155.0,South Korea,Asia,3085.0,364.0,23348.0,3397.0
Universitat de Barcelona,156.0,Spain,Europe,3863.0,108.0,46002.0,6134.0
École Normale Supérieure de Lyon,157.0,France,Europe,382.0,91.0,2020.0,221.0
University of Aberdeen,158.0,United Kingdom,Europe,1310.0,508.0,12005.0,4246.0
The University of Exeter,159.0,United Kingdom,Europe,1756.0,597.0,20749.0,5504.0
University of Bath,160.0,United Kingdom,Europe,1165.0,440.0,14370.0,4213.0
Newcastle University,161.0,United Kingdom,Europe,2428.0,835.0,21673.0,5717.0
National Tsing Hua University,162.0,Taiwan,Asia,1020.0,119.0,13890.0,1187.0
University of Minnesota,163.0,United States,North America,4919.0,195.0,59742.0,6542.0
University of Bergen,164.0,Norway,Europe,1513.0,484.0,10671.0,767.0
"University of California, Irvine",165.0,United States,North America,1926.0,377.0,32151.0,8538.0
Eberhard Karls Universität Tübingen,166.0,Germany,Europe,3844.0,796.0,27366.0,3860.0
University of Bern,167.0,Switzerland,Europe,1172.0,661.0,10758.0,1618.0
University College Dublin,168.0,Ireland,Europe,1604.0,627.0,19833.0,3876.0
Dartmouth College,169.0,United States,North America,939.0,27.0,6224.0,945.0
Politecnico di Milano,170.0,Italy,Europe,1500.0,231.0,36277.0,5593.0
Albert-Ludwigs-Universitaet Freiburg,171.0,Germany,Europe,1966.0,413.0,23214.0,3897.0
Indian Institute of Technology Delhi (IITD),172.0,India,Asia,466.0,4.0,7477.0,80.0
King Fahd University of Petroleum & Minerals,173.0,Saudi Arabia,Asia,1062.0,665.0,6040.0,989.0
University of Liverpool,174.0,United Kingdom,Europe,2390.0,717.0,22065.0,7502.0
University of Virginia,175.0,United States,North America,2509.0,487.0,21560.0,1899.0
University of Technology Sydney,176.0,Australia,Oceania,1328.0,546.0,24207.0,7769.0
CentraleSupélec,177.0,France,Europe,529.0,137.0,3877.0,1132.0
University of Florida,178.0,United States,North America,5419.0,504.0,45485.0,4597.0
